city,lat,lng,maxtemp,cloudiness,country,date,humidity,windspeed
kirakira,-10.46,161.92,84.11,32,SB,1540704224,100,6.89
tasiilaq,65.61,-37.64,30.2,44,GL,1540702200,86,10.29
kavaratti,10.57,72.64,86.81,0,IN,1540704390,97,2.75
cape town,-33.93,18.42,62.6,0,ZA,1540702800,88,3.36
noormarkku,61.59,21.87,26.6,0,FI,1540702200,86,5.82
lieksa,63.32,30.02,25.29,0,FI,1540704391,87,7.11
dobryanka,58.45,56.42,33.8,90,RU,1540701000,69,13.42
hobart,-42.88,147.33,57.2,75,AU,1540702800,47,11.41
rikitea,-23.12,-134.97,72.86,76,PF,1540704157,100,14.72
bayir,37.27,28.22,50,20,TR,1540702200,87,4.7
taolanaro,,,,,,,,
castro,-42.48,-73.76,53.28,92,CL,1540704151,97,6.67
belushya guba,,,,,,,,
qaanaaq,77.48,-69.36,-7.92,0,GL,1540704174,100,8.9
guerrero negro,27.97,-114.04,63.41,0,MX,1540704418,96,5.55
duvan,55.69,57.9,32.22,88,RU,1540704418,74,9.13
san patricio,-26.98,-56.83,57.42,8,PY,1540704171,87,2.98
albany,42.65,-73.75,44.6,90,US,1540702440,81,6.93
cayenne,4.94,-52.33,78.8,80,GF,1540701000,94,1.12
nanortalik,60.14,-45.24,34.65,24,GL,1540704419,92,17.74
hasaki,35.73,140.83,68,20,JP,1540701000,64,11.41
punta arenas,-53.16,-70.91,46.4,75,CL,1540699200,65,9.17
esperance,10.24,-61.45,73.4,0,TT,1540702800,94,4.65
new norfolk,-42.78,147.06,57.2,75,AU,1540702800,47,11.41
kloulklubed,7.04,134.26,86,75,PW,1540702200,74,16.11
dawei,14.07,98.19,88.02,8,MM,1540704420,55,5.66
saskylakh,71.97,114.09,33.03,56,RU,1540704167,89,13.6
mataura,-46.19,168.86,49.28,92,NZ,1540704157,100,2.98
roebourne,-20.77,117.15,101.48,0,AU,1540704421,14,11.25
cidreira,-30.17,-50.22,60.98,88,BR,1540704161,96,5.77
busselton,-33.64,115.35,69.57,0,AU,1540704158,83,5.44
jamestown,-33.21,138.6,60.53,80,AU,1540704152,100,5.77
hermanus,-34.42,19.24,72.27,0,ZA,1540704157,57,2.42
ossora,59.24,163.07,36,12,RU,1540704422,98,4.76
khatanga,71.98,102.47,30.83,64,RU,1540704168,93,12.26
nikolskoye,59.7,30.79,35.6,75,RU,1540701000,80,8.95
kaohsiung,22.62,120.31,80.6,40,TW,1540701000,44,6.93
chokurdakh,70.62,147.9,10.35,92,RU,1540704163,81,11.36
ushuaia,-54.81,-68.31,51.8,40,AR,1540699200,34,18.34
